MatchId,Patch,QueueType,RankFk,GameDuration
KR_8035165093,16.1.737.4870,ARAM,0,841
KR_8013272478,15.24.734.7485,SWIFTPLAY,0,1863
KR_8014364132,15.24.734.7485,CLASSIC,0,1772
KR_7850724759,15.19.715.1836,CLASSIC,0,2336
KR_8039276816,16.1.737.4870,CLASSIC,0,1443
KR_8021476391,16.1.737.4870,ARAM,0,833
EUW1_7569914298,15.20.719.545,ARAM,8,1482
NA1_5440639698,15.24.733.6673,CLASSIC,2,2415
NA1_5452774070,15.24.734.7485,CLASSIC,8,1603
KR_8025119441,16.1.737.4870,CLASSIC,0,1119
NA1_5420875581,15.23.728.3286,CHERRY,7,1578
NA1_5392594547,15.20.717.2831,CLASSIC,2,2837
NA1_5422992355,15.23.728.3286,CLASSIC,6,2216
EUW1_7599974255,15.22.724.5161,CLASSIC,6,1366
KR_8025359380,16.1.737.4870,ARAM,0,1024
EUW1_7583224032,15.21.721.8442,ARAM,0,1335
KR_8029133599,16.1.737.4870,CLASSIC,3,1438
KR_8030083396,16.1.737.4870,ARAM,0,903
KR_8012592358,15.24.734.7485,ARAM,2,1957
KR_8008788674,15.24.734.7485,CLASSIC,0,1489
NA1_5452986053,15.24.734.7485,ARAM,0,1831
KR_8025523892,16.1.737.4870,ARAM,0,113
KR_8029596385,16.1.737.4870,ARAM,0,1348
NA1_5452623477,15.24.734.7485,CLASSIC,8,911
NA1_5425850368,15.23.728.3286,CLASSIC,8,1174
EUW1_7606235312,15.22.724.5161,CLASSIC,0,1907
NA1_5440359223,15.24.733.6673,CLASSIC,8,1278
NA1_5428760559,15.24.730.7955,CLASSIC,8,923
KR_8038456580,16.1.737.4870,ARAM,0,1123
NA1_5431648050,15.24.731.5210,CLASSIC,7,1902
EUW1_7602482698,15.22.724.5161,CLASSIC,4,1662
EUW1_7567993613,15.20.717.2831,CLASSIC,8,1817
NA1_5453027306,15.24.734.7485,CLASSIC,9,1330
NA1_5412452947,15.22.724.5161,CLASSIC,8,1334
NA1_4925116002,14.3.558.8314,CLASSIC,0,1093
KR_8010040435,15.24.734.7485,CLASSIC,3,1776
KR_8023351487,16.1.737.4870,ARAM,3,713
KR_8012205995,15.24.734.7485,CLASSIC,2,1930
NA1_5439769651,15.24.733.5841,CLASSIC,9,1247
NA1_5429221877,15.24.731.2566,CLASSIC,7,2383
NA1_5423116254,15.23.728.3286,CLASSIC,8,1154
EUW1_7507335053,15.16.706.7476,CHERRY,8,1218
KR_8029625121,16.1.737.4870,ARAM,0,1202
KR_8038623919,16.1.737.4870,CLASSIC,0,1683
NA1_5425619000,15.23.728.3286,SWIFTPLAY,5,1065
EUW1_7568952516,15.20.719.545,CHERRY,0,1593
