SummonerMatchId,SummonerFk,MatchFk,ChampionFk
6,1,EUW1_7564297394,127
14,1,EUW1_7556939547,16
16,1,EUW1_7555701369,61
20,1,EUW1_7548453301,147
42,2,EUW1_7553208120,67
44,2,EUW1_7553062055,804
47,2,EUW1_7528258171,18
53,2,EUW1_7521649441,145
59,2,EUW1_7517661409,246
121,4,EUW1_7497430560,11
126,4,EUW1_7484228486,266
127,4,EUW1_7484212989,266
129,4,EUW1_7484181885,266
134,4,EUW1_7362562749,29
135,4,EUW1_7361456267,29
164,5,EUW1_7492298009,236
165,5,EUW1_7489008091,236
166,5,EUW1_7488407658,236
167,5,EUW1_7475545393,236
168,5,EUW1_7467247264,901
171,5,EUW1_7461149089,901
172,5,EUW1_7461114770,110
180,5,EUW1_7460449043,110
203,6,EUW1_7564465963,901
205,6,EUW1_7564403949,26
212,6,EUW1_7544298673,3
220,6,EUW1_7534241976,32
236,7,EUW1_7546667826,99
240,7,EUW1_7545823578,99
255,7,EUW1_7533913919,99
276,8,EUW1_7541106938,81
277,8,EUW1_7541058415,45
278,8,EUW1_7540851043,102
279,8,EUW1_7540809687,2
286,8,EUW1_7525895221,497
293,8,EUW1_7523899932,16
316,9,EUW1_7567334618,122
359,10,EUW1_7567246902,98
360,10,EUW1_7566220796,90
368,10,EUW1_7562497900,96
372,10,EUW1_7561175736,111
401,13,EUW1_7496082806,86
403,13,EUW1_7494977753,86
404,13,EUW1_7494912438,86
413,13,EUW1_7489914213,86
476,15,EUW1_7566035710,412
477,15,EUW1_7566022078,78
478,15,EUW1_7565953869,25
479,15,EUW1_7565823280,432
485,15,EUW1_7565410561,412
486,15,EUW1_7565362476,78
487,15,EUW1_7565316200,518
556,18,EUW1_7564756252,145
559,18,EUW1_7548268567,21
563,18,EUW1_7533531734,21
570,18,EUW1_7526107929,22
571,18,EUW1_7526088989,202
597,19,EUW1_7567470538,234
613,19,EUW1_7558236570,111
614,19,EUW1_7558193310,111
615,19,EUW1_7557796026,136
637,20,EUW1_7514623244,901
653,20,EUW1_7037575734,21
676,21,EUW1_7567803153,497
681,21,EUW1_7566735906,222
683,21,EUW1_7565707291,92
688,21,EUW1_7565165776,895
720,22,EUW1_7567588920,145
721,22,EUW1_7567275445,110
723,22,EUW1_7567161316,59
758,25,EUW1_7514251243,56
759,25,EUW1_7514190971,56
762,25,EUW1_7513737265,497
770,25,EUW1_7503701599,555
806,26,EUW1_7178968845,104
809,26,EUW1_7161283635,79
813,26,EUW1_7125193614,56
814,26,EUW1_7124986080,79
840,27,EUW1_6973801674,5
843,27,EUW1_6972829707,57
855,27,EUW1_6971620209,11
876,28,EUW1_7532663057,266
877,28,EUW1_7532645618,106
887,28,EUW1_7476121167,36
888,28,EUW1_7476060183,36
891,28,EUW1_7474635857,36
892,28,EUW1_7474596236,875
894,28,EUW1_7473421451,36
922,29,EUW1_7279641542,68
932,29,EUW1_7198295391,163
934,29,EUW1_7185172002,84
957,30,EUW1_7566223153,799
972,30,EUW1_7554780467,893
1007,31,EUW1_7566451319,86
1008,31,EUW1_7566442798,86
1011,31,EUW1_7566420648,266
1013,31,EUW1_7566391150,54
1042,32,EUW1_7567363901,245
1054,32,EUW1_7563697744,245
1055,32,EUW1_7563508265,245
1081,33,EUW1_7525798535,101
1090,33,EUW1_7520942442,7
1116,34,EUW1_7307420327,777
1123,34,EUW1_7227204606,19
1128,34,EUW1_7193024559,62
1130,34,EUW1_7192979426,62
1131,34,EUW1_7180449757,17
1159,35,EUW1_7560872513,17
1160,35,EUW1_7560829238,202
1165,35,EUW1_7560505058,51
1167,35,EUW1_7550232208,42
1173,35,EUW1_7549545182,51
1175,35,EUW1_7549443651,51
1201,36,EUW1_7567166383,35
1202,36,EUW1_7567097003,35
1203,36,EUW1_7567028392,35
1208,36,EUW1_7565646034,35
1239,37,EUW1_7313860388,60
1245,37,EUW1_7309722264,60
1248,37,EUW1_7307020444,51
1249,37,EUW1_7306989589,51
1253,37,EUW1_7304900176,29
1255,37,EUW1_7303885541,51
1277,38,EUW1_7551757343,142
1280,38,EUW1_7550126754,901
1281,38,EUW1_7549812860,85
1288,38,EUW1_7531849999,804
1289,38,EUW1_7531814684,41
1290,38,EUW1_7527389838,17
1317,39,EUW1_7458857657,157
1320,39,EUW1_7455758523,57
1321,39,EUW1_7455721769,26
1322,39,EUW1_7455680627,27
1358,40,EUW1_7547159080,34
1370,41,EUW1_7186639186,106
1373,41,EUW1_7185851593,517
1374,41,EUW1_7185829616,43
1377,41,EUW1_7063426413,10
1378,41,EUW1_7063390066,10
1381,41,EUW1_7062281310,235
1386,41,EUW1_7061914574,21
1410,42,EUW1_7503372158,83
1412,42,EUW1_7498430197,86
1413,42,EUW1_7498396514,20
1414,42,EUW1_7496925560,131
1420,42,EUW1_7469418398,120
1454,43,EUW1_7564617092,145
1455,43,EUW1_7564291915,145
1458,43,EUW1_7563369620,145
1459,43,EUW1_7561080391,57
1461,43,EUW1_7558663854,145
1466,43,EUW1_7554378729,236
1467,43,EUW1_7554368622,236
1468,43,EUW1_7551600225,236
1494,44,EUW1_7565309846,202
1495,44,EUW1_7565151822,202
1496,44,EUW1_7564774573,202
1501,44,EUW1_7562325148,202
1506,44,EUW1_7557395199,202
1533,45,EUW1_7567165672,202
1535,45,EUW1_7566812849,18
1545,45,EUW1_7565863492,202
1569,46,EUW1_6694890554,222
1588,47,EUW1_7457778056,119
1595,47,EUW1_7412140512,51
1602,47,EUW1_7411707938,122
1604,47,EUW1_7366963884,20
1605,47,EUW1_7366962842,20
1606,47,EUW1_7366697556,90
1627,48,EUW1_7567855713,25
1633,48,EUW1_7566819617,41
1641,48,EUW1_7562733668,37
1644,48,EUW1_7562695292,875
1668,49,EUW1_7251281376,4
1669,49,EUW1_7228204094,21
1670,49,EUW1_7228147450,32
1672,49,EUW1_7220735193,910
1675,49,EUW1_7217892715,236
1677,49,EUW1_7216066838,18
1682,49,EUW1_7184822106,39
1709,50,EUW1_7567596746,888
1714,50,EUW1_7566534975,268
1723,50,EUW1_7564290251,98
1747,51,EUW1_7528287037,80
1752,51,EUW1_7526213493,80
1759,51,EUW1_7525054234,13
1762,51,EUW1_7524111529,10
1792,52,EUW1_7565447417,114
1797,52,EUW1_7563003480,895
1799,52,EUW1_7559448580,51
1800,52,EUW1_7559427061,81
1829,53,EUW1_7567404917,14
1846,53,EUW1_7563148445,4
1868,56,EUW1_7566792621,122
1870,56,EUW1_7566705362,8
1873,56,EUW1_7562477191,8
1874,56,EUW1_7487387292,59
1875,56,EUW1_7487325601,91
1876,56,EUW1_7487170496,59
1914,58,EUW1_7560579161,222
1931,59,EUW1_7566207586,35
1936,59,EUW1_7565245021,35
1941,59,EUW1_7564643819,11
1943,59,EUW1_7564467680,11
1972,60,EUW1_7475068319,221
1973,60,EUW1_7441711789,221
1980,60,EUW1_7423504447,51
1981,60,EUW1_7423478248,81
1984,60,EUW1_7421562596,235
1985,60,EUW1_7421500977,15
2006,61,EUW1_7567263912,105
2007,61,EUW1_7567214307,233
2017,61,EUW1_7562983477,145
2019,61,EUW1_7562307454,145
2055,63,EUW1_7546865226,266
2063,63,EUW1_7459345902,164
2070,63,EUW1_7457732937,24
2096,64,EUW1_7538099274,48
2100,64,EUW1_7537017222,40
2105,64,EUW1_7536554208,497
2109,64,EUW1_7536321385,89
2112,64,EUW1_7536118607,111
2134,65,EUW1_7540880564,31
2144,65,EUW1_7497558153,31
2149,65,EUW1_7480388061,38
2150,65,EUW1_7480335982,61
2177,66,EUW1_7552551426,145
2178,66,EUW1_7552508757,22
2183,66,EUW1_7550876513,51
2187,66,EUW1_7548291892,22
2188,66,EUW1_7548213122,22
2190,66,EUW1_7548079650,22
2192,66,EUW1_7547948130,145
2218,67,EUW1_7564422780,115
2225,67,EUW1_7563284777,18
2227,67,EUW1_7563173668,32
2228,67,EUW1_7561873496,14
2233,67,EUW1_7556038123,18
2259,68,EUW1_7566836357,14
2264,68,EUW1_7564114948,141
2271,68,EUW1_7561179937,68
2272,68,EUW1_7561107139,202
2295,69,EUW1_7524832649,89
2306,69,EUW1_7520976788,89
2309,69,EUW1_7519906070,89
2311,69,EUW1_7519824996,89
2337,70,EUW1_7516839350,21
2340,70,EUW1_7495736228,254
2347,70,EUW1_7265180301,202
2350,70,EUW1_7130224907,35
2353,70,EUW1_7083041939,17
2374,71,EUW1_7209197653,119
2378,71,EUW1_7109621820,21
2383,71,EUW1_7022666643,96
2384,71,EUW1_7022474063,96
2391,71,EUW1_7004233944,21
2393,71,EUW1_7003228064,21
2417,72,EUW1_7566960774,103
2419,72,EUW1_7566171250,777
2420,72,EUW1_7566098942,157
2422,72,EUW1_7563608662,711
2423,72,EUW1_7563560084,21
2431,72,EUW1_7555271569,895
2433,72,EUW1_7554374157,134
2454,73,EUW1_7563295883,34
2455,73,EUW1_7559828932,25
2458,73,EUW1_7514461316,11
2459,73,EUW1_7514411413,11
2460,73,EUW1_7510904771,57
2462,73,EUW1_7486263922,22
2465,73,EUW1_7480191917,421
2466,73,EUW1_7470881063,497
2469,73,EUW1_7469829068,117
2470,73,EUW1_7468934557,498
2471,73,EUW1_7468881403,804
2472,73,EUW1_7467948598,888
2496,74,EUW1_7548012162,103
2500,74,EUW1_7538188832,61
2501,74,EUW1_7537850887,103
2504,74,EUW1_7534682033,103
2509,74,EUW1_7533953223,22
2511,74,EUW1_7533199742,21
2534,75,EUW1_7527054351,902
2537,75,EUW1_7526346428,902
2538,75,EUW1_7526257254,902
2540,75,EUW1_7520678738,902
2543,75,EUW1_7519793579,902
2547,75,EUW1_7487435759,40
2550,75,EUW1_7481589887,34
2553,75,EUW1_7357456448,902
2578,76,EUW1_7529030231,143
2580,76,EUW1_7528976002,360
2584,76,EUW1_7522471852,127
2585,76,EUW1_7522449295,222
2588,76,EUW1_7521697790,221
2590,76,EUW1_7519981076,360
2615,77,EUW1_7567647827,950
2626,77,EUW1_7565672856,950
2627,77,EUW1_7565536896,30
2629,77,EUW1_7565290564,901
2663,78,EUW1_7566365943,98
2664,78,EUW1_7566351922,31
2667,78,EUW1_7565310294,420
2669,78,EUW1_7564261356,32
2694,79,EUW1_7442086572,777
2699,79,EUW1_7411784942,777
2700,79,EUW1_7383761792,777
2705,79,EUW1_7372248373,777
2744,80,EUW1_7555498140,902
2746,80,EUW1_7555385078,902
2749,80,EUW1_7555091982,902
2752,80,EUW1_7553591996,902
2774,82,EUW1_7532463147,56
2779,82,EUW1_7529608751,223
2780,82,EUW1_7529570010,50
2781,82,EUW1_7529526259,106
2782,82,EUW1_7529452748,106
2783,82,EUW1_7525264800,106
2815,83,EUW1_7347600273,526
2816,83,EUW1_7347467804,17
2818,83,EUW1_7347395958,21
2823,83,EUW1_7340738087,114
2833,83,EUW1_7290124810,50
2863,84,EUW1_7562722288,223
2864,84,EUW1_7562704492,59
2865,84,EUW1_7562299446,113
2871,84,EUW1_7560731681,36
2873,84,EUW1_7560539509,98
2899,86,EUW1_7379965435,18
2911,86,EUW1_7372018473,136
2935,87,EUW1_7515688290,35
2941,87,EUW1_7511093027,51
2946,87,EUW1_7507311182,99
